# Data output for iteration400
          Position_x          Position_y            Pressure          Velocity_x          Velocity_y            Density
                18.4                -0.2             12505.6                   0                   0             1028.68
                18.6                -0.4             8148.08                   0                   0             1019.23
                18.6                -0.2               11904                   0                   0              1027.4
                18.8                -0.4             7614.37                   0                   0             1018.03
                18.8                -0.2             11280.2                   0                   0             1026.07
                  19                -0.4             7190.57                   0                   0             1017.08
                  19                -0.2               10871                   0                   0             1025.19
                19.2                -0.4             6583.16                   0                   0              1015.7
                19.2                -0.2             10581.6                   0                   0             1024.57
                19.4                -0.4             5745.94                   0                   0             1013.78
                19.4                -0.2             9187.45                   0                   0             1021.53
                19.6                -0.4              5458.9                   0                   0             1013.12
                19.6                -0.2             8999.44                   0                   0             1021.11
                19.8                -0.4             4902.21                   0                   0             1011.83
                19.8                -0.2             8477.61                   0                   0             1019.96
                  20                -0.4             3669.07                   0                   0             1008.93
                  20                -0.2             7468.51                   0                   0              1017.7
                20.2                -0.4             2372.15                   0                   0             1005.83
                20.2                -0.2             3247.65                   0                   0             1007.93
                20.4                -0.4                2221                   0                   0             1005.46
                20.4                -0.2             1713.36                   0                   0             1004.23
                -0.4                   0             31983.6                   0                   0             1065.56
                -0.4                 0.2             29943.5                   0                   0             1062.04
                -0.4                 0.4             29390.9                   0                   0             1061.08
                -0.4                 0.6             27923.3                   0                   0             1058.49
                -0.4                 0.8             26705.5                   0                   0             1056.31
                -0.4                   1             24508.3                   0                   0             1052.31
                -0.4                 1.2             21504.4                   0                   0             1046.69
                -0.4                 1.4               18650                   0                   0             1041.18
                -0.4                 1.6             16075.1                   0                   0             1036.05
                -0.4                 1.8             13626.8                   0                   0             1031.03
                -0.4                   2             11407.3                   0                   0             1026.34
                -0.4                 2.2             9551.92                   0                   0             1022.33
                -0.4                 2.4             8063.59                   0                   0             1019.04
                -0.4                 2.6             6847.45                   0                   0              1016.3
                -0.4                 2.8             5804.15                   0                   0             1013.92
                -0.4                   3             4839.02                   0                   0             1011.68
                -0.4                 3.2             3922.44                   0                   0             1009.53
                -0.4                 3.4             3212.14                   0                   0             1007.84
